basin_index,from_raw,from_swmm_id,to_raw,to_swmm_id,edge_type,parsed_successfully,built_successfully,blocker_reason,direction_token_used,source_branch_logic_row
1,J77,J_77,O77,O_77,JO,true,true,,TOP,2
1,J76,J_76,J77,J_77,JJ,true,true,,LEFT,3
1,J75,J_75,J77,J_77,JJ,true,true,,RIGHT,3
1,IN82,IN_82,J76,J_76,IJ,true,true,,TOP,4
1,IN80,IN_80,J75,J_75,IJ,true,true,,TOP,5
1,IN81,IN_81,J75,J_75,IJ,true,true,,RIGHT,5
1,IN79,IN_79,J75,J_75,IJ,true,true,,45 DEGREES TOP RIGHT,5
1,J74,J_74,J75,J_75,JJ,true,true,,LEFT,5
1,J72,J_72,J74,J_74,JJ,true,true,,TOP,6
1,J71.9,J_71_9,J72,J_72,JJ,true,true,,RIGHT,7
1,J71.8,J_71_8,J72,J_72,JJ,true,true,,45 DEGREES TOP LEFT,7
1,IN77.6,IN_77_6,J71.8,J_71_8,IJ,true,true,,LEFT,8
1,J71.7,J_71_7,J71.8,J_71_8,JJ,true,true,,TOP,8
1,J71.6,J_71_6,J71.7,J_71_7,JJ,true,true,,45 DEGREES TOP RIGHT,9
1,J71.4,J_71_4,J71.7,J_71_7,JJ,true,true,,45 DEGREES TOP LEFT,9
1,IN77.5,IN_77_5,J71.6,J_71_6,IJ,true,true,,LEFT,10
1,J71.5,J_71_5,J71.6,J_71_6,JJ,true,true,,TOP,10
1,IN77.3,IN_77_3,J71.5,J_71_5,IJ,true,true,,LEFT,11
1,IN77.4,IN_77_4,J71.5,J_71_5,IJ,true,true,,RIGHT,11
1,J71.2,J_71_2,J71.4,J_71_4,JJ,true,false,missing_junction_source,RIGHT,12
1,J71.3,J_71_3,J71.4,J_71_4,JJ,true,false,missing_junction_source,TOP,12
1,IN77.2,IN_77_2,J71.3,J_71_3,IJ,true,true,,TOP,13
1,IN77,IN_77,J71.2,J_71_2,IJ,true,true,,LEFT,14
1,IN77.1,IN_77_1,J71.2,J_71_2,IJ,true,false,missing_inlet_source,RIGHT,14
1,J71.1,J_71_1,J71.9,J_71_9,JJ,true,true,,TOP,15
1,J71,J_71,J71.1,J_71_1,JJ,true,false,missing_junction_source,LEFT,16
1,IN76.5,IN_76_5,J71.1,J_71_1,IJ,true,false,missing_junction_source,RIGHT,16
1,J69,J_69,J71,J_71,JJ,true,true,,TOP,17
1,J70.4,J_70_4,J71,J_71,JJ,true,true,,LEFT,17
1,IN76.43,IN_76_43,J70.4,J_70_4,IJ,true,true,,LEFT,18
1,J70.3,J_70_3,J70.4,J_70_4,JJ,true,false,missing_junction_source,RIGHT,18
1,IN76.42,IN_76_42,J70.3,J_70_3,IJ,true,true,,RIGHT,19
1,IN76.41,IN_76_41,J70.3,J_70_3,IJ,true,true,,LEFT,19
