source_branch_logic_row,basin_index,raw_id_in_branch_logic,normalized_swmm_id,downstream_target,structure_type,reason,suggested_user_action
7,1,J71.9,J_71_9,J_72,JUNCTION,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
8,1,IN77.6,IN_77_6,J_71_8,INLET,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
9,1,J71.4,J_71_4,J_71_7,JUNCTION,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
9,1,J71.6,J_71_6,J_71_7,JUNCTION,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
10,1,J71.6,J_71_6,J_71_6,JUNCTION,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
11,1,IN77.4,IN_77_4,J_71_5,INLET,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
14,1,IN77.1,IN_77_1,J_71_2,INLET,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
15,1,J71.1,J_71_1,J_71_9,JUNCTION,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
16,1,J71.1,J_71_1,J_71_1,JUNCTION,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
17,1,J70.4,J_70_4,J_71,JUNCTION,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
18,1,IN76.43,IN_76_43,J_70_4,INLET,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
20,1,J70.1,J_70_1,J_70_2,JUNCTION,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
21,1,J70.1,J_70_1,J_70_1,JUNCTION,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
22,1,IN76.1,IN_76_1,J_70,INLET,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
23,1,J68.1,J_68_1,J_69,JUNCTION,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
25,1,IN75.4,IN_75_4,J_68,INLET,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
26,1,IN75.6,IN_75_6,J_68_1,INLET,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
26,1,J68.1,J_68_1,J_68_1,JUNCTION,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
27,1,J65.1,J_65_1,J_65_3,JUNCTION,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
29,1,IN75.1,IN_75_1,J_65_2,INLET,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
30,1,J65.1,J_65_1,J_65_1,JUNCTION,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
89,1,J4.1,J_4_1,J_5,JUNCTION,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
90,1,J4.1,J_4_1,J_4_1,JUNCTION,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
127,2,IN130.2,IN_130_2,J_110_1,INLET,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
127,2,IN130.3,IN_130_3,J_110_1,INLET,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
130,2,IN129.2,IN_129_2,J_109_1,INLET,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
133,2,IN128.2,IN_128_2,J_108_3,INLET,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
190,2,J81.1,J_81_1,J_82,JUNCTION,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
191,2,J81.1,J_81_1,J_81_1,JUNCTION,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
193,2,J78.1,J_78_1,J_80,JUNCTION,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
195,2,J78.1,J_78_1,J_78_1,JUNCTION,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
224,5,J137.2,J_137_2,J_138,JUNCTION,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
228,5,J136.7,J_136_7,J_136_9,JUNCTION,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
228,5,J136.8,J_136_8,J_136_9,JUNCTION,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
229,5,J136.8,J_136_8,J_136_8,JUNCTION,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
230,5,J136.7,J_136_7,J_136_7,JUNCTION,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
233,5,J136.3,J_136_3,J_136_4,JUNCTION,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
234,5,J136.2,J_136_2,J_136_3,JUNCTION,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
234,5,J136.3,J_136_3,J_136_3,JUNCTION,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
235,5,J136.2,J_136_2,J_136_2,JUNCTION,TRUE missing source node (not found in HYDROLOGY B/C within row scope <=684),EXPAND_SOURCE_SCOPE
