source_row,basin_index,downstream_anchor,upstream_ids_raw,directions_raw,parsed_direction_count,matched_direction_ids,unmatched_direction_tokens,defaulted_to_top,reason_if_defaulted
2,1,O77,J77,TOP,0,,TOP,true,no_direction_pairs_parsed|unmatched_direction_tokens_present
3,1,J77,"J76, J75","J76 LEFT, J75 RIGHT",2,J_76|J_75,,false,
4,1,J76,IN82,IN82 TOP,1,IN_82,,false,
5,1,J75,"IN80, IN81, IN79, J74","IN80 TOP, IN81 RIGHT, IN79 45 DEGREES TOP RIGHT, J74 LEFT",4,IN_80|IN_81|IN_79|J_74,,false,
6,1,J74,J72,J72 TOP,1,J_72,,false,
7,1,J72,"J71.9, J71.8","J71.9 RIGHT, J71.8 45 DEGREES TOP LEFT",2,J_71_9|J_71_8,,false,
8,1,J71.8,"IN77.6, J71.7","J71.7 TOP, IN77.6 LEFT",2,J_71_7|IN_77_6,,false,
9,1,J71.7,"J71.6, J71.4","J71.4 45 DEGREES TOP LEFT, J71.6 45 DEGREES TOP RIGHT",2,J_71_4|J_71_6,,false,
10,1,J71.6,"IN77.5, J71.5","IN77.5 LEFT, J71.5 TOP",2,IN_77_5|J_71_5,,false,
11,1,J71.5,"IN77.3, IN77.4","IN77.3 LEFT, IN77.4 RIGHT",2,IN_77_3|IN_77_4,,false,
12,1,J71.4,"J71.2, J71.3","J71.2 RIGHT, J71.3 TOP",2,J_71_2|J_71_3,,false,
13,1,J71.3,IN77.2,IN77.2 TOP,1,IN_77_2,,false,
14,1,J71.2,"IN77, IN77.1","IN77 LEFT, IN77.1 RIGHT",2,IN_77|IN_77_1,,false,
15,1,J71.9,J71.1,J71.1 TOP,1,J_71_1,,false,
16,1,J71.1,"J71, IN76.5","IN76.5 RIGHT, J71 LEFT",2,IN_76_5|J_71,,false,
17,1,J71,"J69, J70.4","J69 TOP, J70.4 LEFT",2,J_69|J_70_4,,false,
18,1,J70.4,"IN76.43, J70.3","IN76.43 LEFT, J70.3 RIGHT",2,IN_76_43|J_70_3,,false,
19,1,J70.3,"IN76.42, IN76.41, J70.2","J70.2 TOP, IN76.42 RIGHT, IN76.41 LEFT",3,J_70_2|IN_76_42|IN_76_41,,false,
20,1,J70.2,"J70.1, J70","J70 TOP, J70.1 LEFT",2,J_70|J_70_1,,false,
21,1,J70.1,IN76.3,IN76.3 TOP,1,IN_76_3,,false,
22,1,J70,"IN76.1, IN76.2, IN76","IN76 TOP, IN76.1 LEFT, IN76.2 RIGHT",3,IN_76|IN_76_1|IN_76_2,,false,
23,1,J69,"J68.1, J68.05, J65.3","J65.3 TOP, J68.1 RIGHT, J68.05 LEFT",3,J_65_3|J_68_1|J_68_05,,false,
24,1,J68.05,J68,J68 TOP,1,J_68,,false,
25,1,J68,"IN75.3, IN75.4","IN75.3 LEFT, IN75.4 RIGHT",2,IN_75_3|IN_75_4,,false,
26,1,J68.1,"IN75.5, IN75.6","IN75.5 RIGHT, IN75.6 LEFT",2,IN_75_5|IN_75_6,,false,
27,1,J65.3,"J65.1, J65.25","J65.25 LEFT, J65.1 TOP",2,J_65_25|J_65_1,,false,
28,1,J65.25,"IN75.25, J65.2","IN75.24 RIGHT, J65.2 TOP",2,IN_75_24|J_65_2,,false,
29,1,J65.2,"IN75.2, IN75.1","IN75.1 LEFT, IN75.2 RIGHT",2,IN_75_1|IN_75_2,,false,
