basin_index,source_row,raw_id,swmm_id,receiving_junction_swmm_id,known_flow_cfs,flow_present,lateral_length_ft,lateral_slope,lateral_diameter_in,rim_elev,invert_elev,notes_applied
,11,1,IN_1,J_1,5.06415,true,5,0.002,24,427.61,421.14,uniform lateral assumptions
,29,10,IN_10,J_6_1,1.5191476039918381,true,5,0.002,24,421.46,413.13,uniform lateral assumptions
,269,100,IN_100,J_88,0.2955725397286027,true,5,0.002,24,398.0,394.56,uniform lateral assumptions
,271,100.1,IN_100_1,J_88_1,2.02914612758226,true,5,0.002,24,401.5,392.84999999999997,uniform lateral assumptions
,272,101,IN_101,J_88_1,4.62429781901931,true,5,0.002,24,401.5,392.84999999999997,uniform lateral assumptions
,274,102,IN_102,,3.384259516402501,true,5,0.002,24,,,uniform lateral assumptions
,277,103,IN_103,J_90,2.2272735959656016,true,5,0.002,24,401.64,395.71999999999997,uniform lateral assumptions
,278,104,IN_104,J_90,0.5450872226319937,true,5,0.002,24,401.64,395.71999999999997,uniform lateral assumptions
,280,105,IN_105,J_90_1,1.724162583188669,true,5,0.002,24,401.88,395.68,uniform lateral assumptions
,283,106,IN_106,,1.816865039403901,true,5,0.002,24,,,uniform lateral assumptions
,284,106.1,IN_106_1,,1.151760240088633,true,5,0.002,24,,,uniform lateral assumptions
,287,107,IN_107,J_93,3.8175086753690435,true,5,0.002,24,396.8,391.03999999999996,uniform lateral assumptions
,288,108,IN_108,J_93,2.9709983560839612,true,5,0.002,24,396.8,391.03999999999996,uniform lateral assumptions
,290,109,IN_109,J_94,0.8459199865464858,true,5,0.002,24,396.8,387.06,uniform lateral assumptions
,32,11,IN_11,J_7,1.1653070302667903,true,5,0.002,24,421.85,413.88,uniform lateral assumptions
,294,110.1,IN_110_1,J_94_2,4.972461906317455,true,5,0.002,24,398.34,392.23,uniform lateral assumptions
,297,111,IN_111,J_95,1.892337427846887,true,5,0.002,24,398.0,385.11,uniform lateral assumptions
,300,112,IN_112,,2.591977287922787,true,5,0.002,24,,,uniform lateral assumptions
,302,112.1,IN_112_1,J_95_15,0.92292856075784,true,5,0.002,24,394.0,386.69,uniform lateral assumptions
,304,112.2,IN_112_2,J_95_2,0.763328681349788,true,5,0.002,24,393.84,385.75,uniform lateral assumptions
,305,113,IN_113,J_95_2,1.6449200232810854,true,5,0.002,24,393.84,385.75,uniform lateral assumptions
,309,114,IN_114,J_96,5.3899328049934265,true,5,0.002,24,390.06,379.92,uniform lateral assumptions
,310,115,IN_115,J_96,2.660685938283288,true,5,0.002,24,390.06,379.92,uniform lateral assumptions
,313,115.1,IN_115_1,,1.8205047056959742,true,5,0.002,24,,,uniform lateral assumptions
,315,116,IN_116,,0.9591329842082281,true,5,0.002,24,,,uniform lateral assumptions
,317,116.01,IN_116_01,,0.6719296982354694,true,5,0.002,24,,,uniform lateral assumptions
,318,116.02,IN_116_02,,0.42981963882578694,true,5,0.002,24,,,uniform lateral assumptions
,320,116.1,IN_116_1,J_98,3.2795393326177225,true,5,0.002,24,390.2,379.74,uniform lateral assumptions
,323,116.2,IN_116_2,,0.31772677667238247,true,5,0.002,24,,,uniform lateral assumptions
,324,116.3,IN_116_3,,0.8530749677040999,true,5,0.002,24,,,uniform lateral assumptions
,325,116.4,IN_116_4,,0.44843648658279117,true,5,0.002,24,,,uniform lateral assumptions
,329,117,IN_117,,2.4665094500723246,true,5,0.002,24,,,uniform lateral assumptions
,330,117.1,IN_117_1,,0.8485332595815052,true,5,0.002,24,,,uniform lateral assumptions
,331,117.2,IN_117_2,,0.8761506523696999,true,5,0.002,24,,,uniform lateral assumptions
,333,118,IN_118,,2.9984816388410063,true,5,0.002,24,,,uniform lateral assumptions
,334,118.1,IN_118_1,,2.766437269239633,true,5,0.002,24,,,uniform lateral assumptions
,337,119,IN_119,,0.4066488453274558,true,5,0.002,24,,,uniform lateral assumptions
,338,119.1,IN_119_1,,2.64033620728278,true,5,0.002,24,,,uniform lateral assumptions
,340,119.2,IN_119_2,,1.6426097511599298,true,5,0.002,24,,,uniform lateral assumptions
,36,12,IN_12,J_8,0.44732516665285776,true,5,0.002,24,422.0,414.7,uniform lateral assumptions
,343,120,IN_120,,0.3255223901676649,true,5,0.002,24,,,uniform lateral assumptions
,346,121,IN_121,,1.1486637091303127,true,5,0.002,24,,,uniform lateral assumptions
,349,122,IN_122,,7.24863956086581,true,5,0.002,24,,,uniform lateral assumptions
,350,122.1,IN_122_1,,1.3725745787865444,true,5,0.002,24,,,uniform lateral assumptions
,351,122.2,IN_122_2,,1.609975788955401,true,5,0.002,24,,,uniform lateral assumptions
,354,123,IN_123,,1.93338149447613,true,5,0.002,24,,,uniform lateral assumptions
,355,123.1,IN_123_1,,0.8187057871241463,true,5,0.002,24,,,uniform lateral assumptions
