basin_index,source_row,raw_id,swmm_id,rim_elev,soffit_elev,diameter_in,invert_elev,downstream_pipe_length_ft,data_complete,missing_fields,notes_applied
,13,1,J_1,427.61,423.13,24.0,421.13,176.0,true,,HYDROLOGY + manual overrides where provided
,327,100,J_100,390.51,383.9,54.0,379.4,376.0,true,,HYDROLOGY + manual overrides where provided
,332,101,J_101,401.35,,18.0,,626.0,false,AC,HYDROLOGY + manual overrides where provided
,335,101.1,J_101_1,401.51,,24.0,,1716.0,false,AC,HYDROLOGY + manual overrides where provided
,339,102,J_102,402.4,,18.0,,89.0,false,AC,HYDROLOGY + manual overrides where provided
,341,102.1,J_102_1,402.4,,24.0,,38.0,false,AC,HYDROLOGY + manual overrides where provided
,344,102.2,J_102_2,403.03,,18.0,,52.0,false,AC,HYDROLOGY + manual overrides where provided
,345,102.3,J_102_3,403.03,,24.0,,567.0,false,AC,HYDROLOGY + manual overrides where provided
,347,102.4,J_102_4,403.0,,24.0,,315.0,false,AC,HYDROLOGY + manual overrides where provided
,352,103,J_103,401.04,,24.0,,935.0,false,AC,HYDROLOGY + manual overrides where provided
,356,103.1,J_103_1,401.65,,18.0,,73.0,false,AC,HYDROLOGY + manual overrides where provided
,357,103.2,J_103_2,401.65,,24.0,,111.0,false,AC,HYDROLOGY + manual overrides where provided
,358,103.3,J_103_3,401.27,,30.0,,97.0,false,AC,HYDROLOGY + manual overrides where provided
,361,103.4,J_103_4,400.27,,36.0,,113.0,false,AC,HYDROLOGY + manual overrides where provided
,364,103.5,J_103_5,401.25,,18.0,,196.0,false,AC,HYDROLOGY + manual overrides where provided
,365,104,J_104,400.59,,36.0,,482.0,false,AC,HYDROLOGY + manual overrides where provided
,369,105,J_105,399.04,,18.0,,51.0,false,AC,HYDROLOGY + manual overrides where provided
,371,105.1,J_105_1,399.37,,18.0,,467.0,false,AC,HYDROLOGY + manual overrides where provided
,375,105.2,J_105_2,399.18,,24.0,,39.0,false,AC,HYDROLOGY + manual overrides where provided
,379,105.3,J_105_3,399.34,,18.0,,48.0,false,AC,HYDROLOGY + manual overrides where provided
,380,105.4,J_105_4,399.18,,30.0,,777.0,false,AC,HYDROLOGY + manual overrides where provided
,383,106,J_106,400.41,,30.0,,552.0,false,AC,HYDROLOGY + manual overrides where provided
,384,107,J_107,401.98,,48.0,,551.0,false,AC,HYDROLOGY + manual overrides where provided
,388,108,J_108,400.37,,18.0,,39.0,false,AC,HYDROLOGY + manual overrides where provided
,390,108.1,J_108_1,400.45,,18.0,,36.0,false,AC,HYDROLOGY + manual overrides where provided
,394,108.2,J_108_2,400.8,,18.0,,26.0,false,AC,HYDROLOGY + manual overrides where provided
,396,108.3,J_108_3,400.45,,18.0,,13.0,false,AC,HYDROLOGY + manual overrides where provided
,397,108.4,J_108_4,400.45,,48.0,,147.0,false,AC,HYDROLOGY + manual overrides where provided
,401,109,J_109,401.46,,18.0,,369.0,false,AC,HYDROLOGY + manual overrides where provided
,403,109.1,J_109_1,401.83,,18.0,,259.0,false,AC,HYDROLOGY + manual overrides where provided
