swmm_id,basin_index,source_row,downstream_target,current_fields_present,user_supplied_AC,user_supplied_invert,user_instruction
J_36,1,105,J_36|J_37,AA|S|V (AC missing),,,
J_55,1,151,J_55|J_57,AA|S|V (AC missing),,,
J_65_2,1,171,J_65_2|J_65_25,AA|S|V (AC missing),,,
J_65_25,1,173,J_65_25|J_65_3,AA|S|V (AC missing),,,
J_65_3,1,174,J_65_3|J_69,AA|S|V (AC missing),,,
J_68,1,178,J_68|J_68_05,AA|S|V (AC missing),,,
J_68_05,1,179,J_68_05|J_69,AA|S|V (AC missing),,,
J_71_2,1,206,J_71_2|J_71_4,AA|S|V (AC missing),,,
J_71_3,1,209,J_71_3|J_71_4,AA|S|V (AC missing),,,
J_101,2,332,J_101|J_101_1,AA|S|V (AC missing),,,
J_101_1,2,335,J_101_1|J_107,AA|S|V (AC missing),,,
J_102,2,339,J_102|J_102_1,AA|S|V (AC missing),,,
J_102_1,2,341,J_102_1|J_102_3,AA|S|V (AC missing),,,
J_102_2,2,344,J_102_2|J_102_3,AA|S|V (AC missing),,,
J_102_3,2,345,J_102_3|J_102_4,AA|S|V (AC missing),,,
J_102_4,2,347,J_102_4|J_103_3,AA|S|V (AC missing),,,
J_103,2,352,J_103|J_103_2,AA|S|V (AC missing),,,
J_103_1,2,356,J_103_1|J_103_2,AA|S|V (AC missing),,,
J_103_2,2,357,J_103_2|J_103_3,AA|S|V (AC missing),,,
J_103_3,2,358,J_103_3|J_103_4,AA|S|V (AC missing),,,
J_103_4,2,361,J_103_4|J_104,AA|S|V (AC missing),,,
J_103_5,2,364,J_103_5|J_104,AA|S|V (AC missing),,,
J_104,2,365,J_104|J_107,AA|S|V (AC missing),,,
J_105,2,369,J_105|J_105_1,AA|S|V (AC missing),,,
J_105_1,2,371,J_105_1|J_105_4,AA|S|V (AC missing),,,
J_105_2,2,375,J_105_2|J_105_4,AA|S|V (AC missing),,,
J_105_3,2,379,J_105_3|J_105_4,AA|S|V (AC missing),,,
J_105_4,2,380,J_105_4|J_106,AA|S|V (AC missing),,,
J_106,2,383,J_106|J_107,AA|S|V (AC missing),,,
J_107,2,384,J_107|J_108_4,AA|S|V (AC missing),,,
J_108,2,388,J_108|J_108_1,AA|S|V (AC missing),,,
J_108_1,2,390,J_108_1|J_108_4,AA|S|V (AC missing),,,
J_108_2,2,394,J_108_2|J_108_3,AA|S|V (AC missing),,,
J_108_3,2,396,J_108_3|J_108_4,AA|S|V (AC missing),,,
J_108_4,2,397,J_108_4|J_110,AA|S|V (AC missing),,,
J_109,2,401,J_109|J_109_1,AA|S|V (AC missing),,,
J_109_1,2,403,J_109_1|J_109_2,AA|S|V (AC missing),,,
J_109_2,2,406,J_109_2|J_110,AA|S|V (AC missing),,,
J_110,2,407,J_110|J_110_2,AA|S|V (AC missing),,,
J_110_1,2,411,J_110_1|J_110_2,AA|S|V (AC missing),,,
J_110_2,2,412,J_110_2|J_110_3,AA|S|V (AC missing),,,
J_110_3,2,415,J_110_3|J_111,AA|S|V (AC missing),,,
J_113_2,2,428,J_113_2|J_115,AA|S|V (AC missing),,,
J_114,2,432,J_114|J_115,AA|S|V (AC missing),,,
J_114_1,2,435,J_114_1|J_114_2,AA|S|V (AC missing),,,
J_114_2,2,437,J_114_2|J_115,AA|S|V (AC missing),,,
J_116,2,441,J_116|J_117,AA|S|V (AC missing),,,
J_134,2,484,J_134|O_134,AA|S|V (AC missing),,,
J_84,2,258,J_84|J_84_1,AA|S|V (AC missing),,,
J_84_1,2,260,J_84_1|J_85,AA|S|V (AC missing),,,
J_89,2,275,J_89|J_95,AA|S|V (AC missing),,,
J_91,2,285,J_91|J_92,AA|S|V (AC missing),,,
J_95_1,2,301,J_95_1|J_95_15,AA|S|V (AC missing),,,
J_96_1,2,314,J_96_1|J_97,AA|S|V (AC missing),,,
J_97,2,316,J_97|J_97_1,AA|S|V (AC missing),,,
J_97_1,2,319,J_97_1|J_98,AA|S|V (AC missing),,,
J_99,2,326,J_100|J_99,AA|S|V (AC missing),,,
J_136,5,500,J_136|J_136_6,AA|S|V (AC missing),,,
J_136_1,5,503,J_136_1|J_136_2,AA|S|V (AC missing),,,
J_136_4,5,509,J_136_4|J_136_5,AA|S|V (AC missing),,,
J_136_5,5,511,J_136_5|J_136_6,AA|S|V (AC missing),,,
J_136_6,5,512,J_136_6|J_136_7,AA|S|V (AC missing),,,
J_136_9,5,520,J_136_9|J_137_2,AA|S|V (AC missing),,,
J_137,5,524,J_137|J_137_1,AA|S|V (AC missing),,,
J_137_1,5,526,J_137_1|J_137_2,AA|S|V (AC missing),,,
