swmm_id,reason,missing_fields,source_row
J_71_2,missing_required_junction_fields,AC,206
J_71_3,missing_required_junction_fields,AC,209
J_68_05,missing_required_junction_fields,AC,179
J_65_3,missing_required_junction_fields,AC,174
J_68,missing_required_junction_fields,AC,178
J_65_25,missing_required_junction_fields,AC,173
J_65_2,missing_required_junction_fields,AC,171
J_55,missing_required_junction_fields,AC,151
J_36,missing_required_junction_fields,AC,105
J_134,missing_required_junction_fields,AC,484
J_116,missing_required_junction_fields,AC,441
J_113_2,missing_required_junction_fields,AC,428
J_114,missing_required_junction_fields,AC,432
J_114_2,missing_required_junction_fields,AC,437
J_114_1,missing_required_junction_fields,AC,435
J_110_3,missing_required_junction_fields,AC,415
J_110_2,missing_required_junction_fields,AC,412
J_110_1,missing_required_junction_fields,AC,411
J_110,missing_required_junction_fields,AC,407
J_108_4,missing_required_junction_fields,AC,397
J_109_2,missing_required_junction_fields,AC,406
J_109_1,missing_required_junction_fields,AC,403
J_109,missing_required_junction_fields,AC,401
J_107,missing_required_junction_fields,AC,384
J_108_1,missing_required_junction_fields,AC,390
J_108_3,missing_required_junction_fields,AC,396
J_108_2,missing_required_junction_fields,AC,394
J_108,missing_required_junction_fields,AC,388
J_106,missing_required_junction_fields,AC,383
J_104,missing_required_junction_fields,AC,365
J_101_1,missing_required_junction_fields,AC,335
J_105_4,missing_required_junction_fields,AC,380
J_105_2,missing_required_junction_fields,AC,375
J_105_3,missing_required_junction_fields,AC,379
J_105_1,missing_required_junction_fields,AC,371
J_105,missing_required_junction_fields,AC,369
J_103_4,missing_required_junction_fields,AC,361
J_103_5,missing_required_junction_fields,AC,364
J_103_3,missing_required_junction_fields,AC,358
J_102_4,missing_required_junction_fields,AC,347
J_103_2,missing_required_junction_fields,AC,357
J_103_1,missing_required_junction_fields,AC,356
J_103,missing_required_junction_fields,AC,352
J_102_3,missing_required_junction_fields,AC,345
J_102_1,missing_required_junction_fields,AC,341
J_102_2,missing_required_junction_fields,AC,344
J_102,missing_required_junction_fields,AC,339
J_101,missing_required_junction_fields,AC,332
J_99,missing_required_junction_fields,AC,326
J_97_1,missing_required_junction_fields,AC,319
J_97,missing_required_junction_fields,AC,316
J_96_1,missing_required_junction_fields,AC,314
J_95_1,missing_required_junction_fields,AC,301
J_89,missing_required_junction_fields,AC,275
J_91,missing_required_junction_fields,AC,285
J_84_1,missing_required_junction_fields,AC,260
J_84,missing_required_junction_fields,AC,258
J_136_9,missing_required_junction_fields,AC,520
J_137_1,missing_required_junction_fields,AC,526
J_137,missing_required_junction_fields,AC,524
J_136_6,missing_required_junction_fields,AC,512
J_136,missing_required_junction_fields,AC,500
J_136_5,missing_required_junction_fields,AC,511
J_136_4,missing_required_junction_fields,AC,509
J_136_1,missing_required_junction_fields,AC,503
