conduit_id,from_node,to_node,slope_ft_per_ft,status,fallback_used,original_match,final_match,notes
J_76__TO__J_77,J_76,J_77,0.001000,ok,false,crown,crown,validated non-negative
J_75__TO__J_77,J_75,J_77,0.001000,ok,false,crown,crown,validated non-negative
IN_82__TO__J_76,IN_82,J_76,0.001000,ok,false,crown,crown,validated non-negative
IN_80__TO__J_75,IN_80,J_75,0.001000,ok,false,crown,crown,validated non-negative
IN_81__TO__J_75,IN_81,J_75,0.001000,ok,false,crown,crown,validated non-negative
IN_79__TO__J_75,IN_79,J_75,0.001000,ok,false,crown,crown,validated non-negative
J_74__TO__J_75,J_74,J_75,0.001000,ok,false,crown,crown,validated non-negative
J_72__TO__J_74,J_72,J_74,0.001000,ok,false,crown,crown,validated non-negative
J_71_9__TO__J_72,J_71_9,J_72,0.001000,ok,false,crown,crown,validated non-negative
J_71_8__TO__J_72,J_71_8,J_72,0.001000,ok,false,crown,crown,validated non-negative
IN_77_6__TO__J_71_8,IN_77_6,J_71_8,0.001000,ok,false,crown,crown,validated non-negative
J_71_7__TO__J_71_8,J_71_7,J_71_8,0.001000,ok,false,crown,crown,validated non-negative
J_71_6__TO__J_71_7,J_71_6,J_71_7,0.001000,ok,false,crown,crown,validated non-negative
J_71_4__TO__J_71_7,J_71_4,J_71_7,0.001000,ok,false,crown,crown,validated non-negative
IN_77_5__TO__J_71_6,IN_77_5,J_71_6,0.001000,ok,false,crown,crown,validated non-negative
J_71_5__TO__J_71_6,J_71_5,J_71_6,0.001000,ok,false,crown,crown,validated non-negative
IN_77_3__TO__J_71_5,IN_77_3,J_71_5,0.001000,ok,false,crown,crown,validated non-negative
IN_77_4__TO__J_71_5,IN_77_4,J_71_5,0.001000,ok,false,crown,crown,validated non-negative
J_71_2__TO__J_71_4,J_71_2,J_71_4,0.001000,ok,false,crown,crown,validated non-negative
J_71_3__TO__J_71_4,J_71_3,J_71_4,0.001000,ok,false,crown,crown,validated non-negative
IN_77_2__TO__J_71_3,IN_77_2,J_71_3,0.001000,ok,false,crown,crown,validated non-negative
IN_77__TO__J_71_2,IN_77,J_71_2,0.001000,ok,false,crown,crown,validated non-negative
IN_77_1__TO__J_71_2,IN_77_1,J_71_2,0.001000,ok,false,crown,crown,validated non-negative
J_71_1__TO__J_71_9,J_71_1,J_71_9,0.001000,ok,false,crown,crown,validated non-negative
J_71__TO__J_71_1,J_71,J_71_1,0.001000,ok,false,crown,crown,validated non-negative
IN_76_5__TO__J_71_1,IN_76_5,J_71_1,0.001000,ok,false,crown,crown,validated non-negative
J_69__TO__J_71,J_69,J_71,0.001000,ok,false,crown,crown,validated non-negative
J_70_4__TO__J_71,J_70_4,J_71,0.001000,ok,false,crown,crown,validated non-negative
IN_76_43__TO__J_70_4,IN_76_43,J_70_4,0.001000,ok,false,crown,crown,validated non-negative
J_70_3__TO__J_70_4,J_70_3,J_70_4,0.001000,ok,false,crown,crown,validated non-negative
IN_76_42__TO__J_70_3,IN_76_42,J_70_3,0.001000,ok,false,crown,crown,validated non-negative
IN_76_41__TO__J_70_3,IN_76_41,J_70_3,0.001000,ok,false,crown,crown,validated non-negative
J_70_2__TO__J_70_3,J_70_2,J_70_3,0.001000,ok,false,crown,crown,validated non-negative
J_70_1__TO__J_70_2,J_70_1,J_70_2,0.001000,ok,false,crown,crown,validated non-negative
J_70__TO__J_70_2,J_70,J_70_2,0.001000,ok,false,crown,crown,validated non-negative
IN_76_3__TO__J_70_1,IN_76_3,J_70_1,0.001000,ok,false,crown,crown,validated non-negative
IN_76_1__TO__J_70,IN_76_1,J_70,0.001000,ok,false,crown,crown,validated non-negative
IN_76_2__TO__J_70,IN_76_2,J_70,0.001000,ok,false,crown,crown,validated non-negative
IN_76__TO__J_70,IN_76,J_70,0.001000,ok,false,crown,crown,validated non-negative
J_68_1__TO__J_69,J_68_1,J_69,0.001000,ok,false,crown,crown,validated non-negative
J_68_05__TO__J_69,J_68_05,J_69,0.001000,ok,false,crown,crown,validated non-negative
J_65_3__TO__J_69,J_65_3,J_69,0.001000,ok,false,crown,crown,validated non-negative
J_68__TO__J_68_05,J_68,J_68_05,0.001000,ok,false,crown,crown,validated non-negative
IN_75_3__TO__J_68,IN_75_3,J_68,0.001000,ok,false,crown,crown,validated non-negative
IN_75_4__TO__J_68,IN_75_4,J_68,0.001000,ok,false,crown,crown,validated non-negative
IN_75_5__TO__J_68_1,IN_75_5,J_68_1,0.001000,ok,false,crown,crown,validated non-negative
IN_75_6__TO__J_68_1,IN_75_6,J_68_1,0.001000,ok,false,crown,crown,validated non-negative
J_65_1__TO__J_65_3,J_65_1,J_65_3,0.001000,ok,false,crown,crown,validated non-negative
J_65_25__TO__J_65_3,J_65_25,J_65_3,0.001000,ok,false,crown,crown,validated non-negative
IN_75_25__TO__J_65_25,IN_75_25,J_65_25,0.001000,ok,false,crown,crown,validated non-negative
J_65_2__TO__J_65_25,J_65_2,J_65_25,0.001000,ok,false,crown,crown,validated non-negative
IN_75_2__TO__J_65_2,IN_75_2,J_65_2,0.001000,ok,false,crown,crown,validated non-negative
IN_75_1__TO__J_65_2,IN_75_1,J_65_2,0.001000,ok,false,crown,crown,validated non-negative
J_65__TO__J_65_1,J_65,J_65_1,0.001000,ok,false,crown,crown,validated non-negative
IN_75__TO__J_65_1,IN_75,J_65_1,0.001000,ok,false,crown,crown,validated non-negative
IN_74__TO__J_65_1,IN_74,J_65_1,0.001000,ok,false,crown,crown,validated non-negative
IN_67__TO__J_65,IN_67,J_65,0.001000,ok,false,crown,crown,validated non-negative
IN_66__TO__J_65,IN_66,J_65,0.001000,ok,false,crown,crown,validated non-negative
J_63__TO__J_65,J_63,J_65,0.001000,ok,false,crown,crown,validated non-negative
IN_62__TO__J_63,IN_62,J_63,0.001000,ok,false,crown,crown,validated non-negative
IN_63__TO__J_63,IN_63,J_63,0.001000,ok,false,crown,crown,validated non-negative
J_62__TO__J_63,J_62,J_63,0.001000,ok,false,crown,crown,validated non-negative
J_61__TO__J_62,J_61,J_62,0.001000,ok,false,crown,crown,validated non-negative
J_57__TO__J_62,J_57,J_62,0.001000,ok,false,crown,crown,validated non-negative
IN_60__TO__J_61,IN_60,J_61,0.001000,ok,false,crown,crown,validated non-negative
IN_61__TO__J_61,IN_61,J_61,0.001000,ok,false,crown,crown,validated non-negative
J_55__TO__J_57,J_55,J_57,0.001000,ok,false,crown,crown,validated non-negative
J_54__TO__J_57,J_54,J_57,0.001000,ok,false,crown,crown,validated non-negative
IN_57__TO__J_57,IN_57,J_57,0.001000,ok,false,crown,crown,validated non-negative
IN_56__TO__J_55,IN_56,J_55,0.001000,ok,false,crown,crown,validated non-negative
IN_56_1__TO__J_55,IN_56_1,J_55,0.001000,ok,false,crown,crown,validated non-negative
IN_54__TO__J_54,IN_54,J_54,0.001000,ok,false,crown,crown,validated non-negative
IN_55__TO__J_54,IN_55,J_54,0.001000,ok,false,crown,crown,validated non-negative
J_53__TO__J_54,J_53,J_54,0.001000,ok,false,crown,crown,validated non-negative
J_52__TO__J_53,J_52,J_53,0.001000,ok,false,crown,crown,validated non-negative
J_51__TO__J_53,J_51,J_53,0.001000,ok,false,crown,crown,validated non-negative
IN_52__TO__J_52,IN_52,J_52,0.001000,ok,false,crown,crown,validated non-negative
IN_52_1__TO__J_52,IN_52_1,J_52,0.001000,ok,false,crown,crown,validated non-negative
IN_53__TO__J_52,IN_53,J_52,0.001000,ok,false,crown,crown,validated non-negative
J_50__TO__J_51,J_50,J_51,0.001000,ok,false,crown,crown,validated non-negative
J_49__TO__J_51,J_49,J_51,0.001000,ok,false,crown,crown,validated non-negative
J_42__TO__J_51,J_42,J_51,0.001000,ok,false,crown,crown,validated non-negative
IN_51__TO__J_50,IN_51,J_50,0.001000,ok,false,crown,crown,validated non-negative
J_48__TO__J_49,J_48,J_49,0.001000,ok,false,crown,crown,validated non-negative
IN_50__TO__J_49,IN_50,J_49,0.001000,ok,false,crown,crown,validated non-negative
J_47__TO__J_48,J_47,J_48,0.001000,ok,false,crown,crown,validated non-negative
J_46__TO__J_48,J_46,J_48,0.001000,ok,false,crown,crown,validated non-negative
IN_49__TO__J_47,IN_49,J_47,0.001000,ok,false,crown,crown,validated non-negative
IN_48__TO__J_47,IN_48,J_47,0.001000,ok,false,crown,crown,validated non-negative
IN_47__TO__J_46,IN_47,J_46,0.001000,ok,false,crown,crown,validated non-negative
J_45__TO__J_46,J_45,J_46,0.001000,ok,false,crown,crown,validated non-negative
IN_46__TO__J_45,IN_46,J_45,0.001000,ok,false,crown,crown,validated non-negative
J_44__TO__J_45,J_44,J_45,0.001000,ok,false,crown,crown,validated non-negative
J_43__TO__J_44,J_43,J_44,0.001000,ok,false,crown,crown,validated non-negative
IN_45__TO__J_44,IN_45,J_44,0.001000,ok,false,crown,crown,validated non-negative
IN_44__TO__J_43,IN_44,J_43,0.001000,ok,false,crown,crown,validated non-negative
J_41__TO__J_42,J_41,J_42,0.001000,ok,false,crown,crown,validated non-negative
J_39__TO__J_42,J_39,J_42,0.001000,ok,false,crown,crown,validated non-negative
IN_43_1__TO__J_41,IN_43_1,J_41,0.001000,ok,false,crown,crown,validated non-negative
IN_43__TO__J_41,IN_43,J_41,0.001000,ok,false,crown,crown,validated non-negative
J_40__TO__J_41,J_40,J_41,0.001000,ok,false,crown,crown,validated non-negative
IN_42__TO__J_40,IN_42,J_40,0.001000,ok,false,crown,crown,validated non-negative
J_38__TO__J_39,J_38,J_39,0.001000,ok,false,crown,crown,validated non-negative
J_37__TO__J_39,J_37,J_39,0.001000,ok,false,crown,crown,validated non-negative
IN_40__TO__J_38,IN_40,J_38,0.001000,ok,false,crown,crown,validated non-negative
IN_41__TO__J_38,IN_41,J_38,0.001000,ok,false,crown,crown,validated non-negative
J_36__TO__J_37,J_36,J_37,0.001000,ok,false,crown,crown,validated non-negative
