swmm_id,basin_index,blocker_reason,source_row_if_known,raw_source_id_if_known,blocker_category,suggested_next_action
J_71_2,1,missing_junction_source,12,J71.2,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
J_71_3,1,missing_junction_source,12,J71.3,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
IN_77_1,1,missing_inlet_source,14,IN77.1,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
IN_76_5,1,missing_junction_source,16,IN76.5,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
J_71,1,missing_junction_source,16,J71,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
J_70_3,1,missing_junction_source,18,J70.3,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
IN_76_3,1,missing_junction_source,21,IN76.3,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
IN_76_1,1,missing_inlet_source,22,IN76.1,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
IN_75_4,1,missing_inlet_source,25,IN75.4,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
IN_75_5,1,missing_junction_source,26,IN75.5,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
IN_75_1,1,missing_inlet_source,29,IN75.1,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
IN_74,1,missing_junction_source,30,IN74,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
IN_75,1,missing_junction_source,30,IN75,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
J_65,1,missing_junction_source,30,J65,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
IN_6,1,missing_junction_source,90,IN6,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
IN_6_1,1,missing_junction_source,90,IN6.1,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
IN_7,1,missing_junction_source,90,IN7,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
IN_130_2,2,missing_inlet_source,127,IN130.2,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
IN_130_3,2,missing_inlet_source,127,IN130.3,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
IN_129_2,2,missing_inlet_source,130,IN129.2,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
IN_128_2,2,missing_inlet_source,133,IN128.2,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
J_81_1,2,missing_junction_source,190,J81.1,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
IN_89,2,missing_junction_source,191,IN89,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
J_81,2,missing_junction_source,191,J81,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
J_78_1,2,missing_junction_source,193,J78.1,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
IN_84,2,missing_junction_source,195,IN84,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
J_78,2,missing_junction_source,195,J78,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
J_137_2,5,missing_junction_source,224,J137.2,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
J_136_9,5,missing_junction_source,225,J136.9,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
J_137_1,5,missing_junction_source,225,J137.1,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
J_136_7,5,missing_junction_source,228,J136.7,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
J_136_8,5,missing_junction_source,228,J136.8,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
IN_165_8,5,missing_junction_source,229,IN165.8,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
IN_165_9,5,missing_junction_source,229,IN165.9,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
IN_165_6,5,missing_junction_source,230,IN165.6,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
IN_165_7,5,missing_junction_source,230,IN165.7,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
J_136_6,5,missing_junction_source,230,J136.6,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
J_136_3,5,missing_junction_source,233,J136.3,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
IN_165_3,5,missing_junction_source,234,IN165.3,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
J_136_2,5,missing_junction_source|missing_junction_source,234,J136.2,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
IN_165_2,5,missing_junction_source,235,IN165.2,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
J_136_1,5,missing_junction_source,235,J136.1,TRUE_MISSING_SOURCE,ADD_SOURCE_LOOKUP_OVERRIDE
