blocker_id,blocker_category,blocker_reason,branch_logic_row_number,basin_index,from_raw_id,from_swmm_id,from_expected_source_type,from_expected_hydrology_column,from_match_found,from_hydrology_cell_if_found,from_hydrology_row_if_found,to_raw_id,to_swmm_id,to_expected_source_type,to_expected_hydrology_column,to_match_found,to_hydrology_cell_if_found,to_hydrology_row_if_found,branch_logic_directions_raw,branch_logic_notes_raw,final_interpretation,suggested_user_action
BLK-12-J_71_2-J_71_4-1,TRUE_MISSING_SOURCE,missing_junction_source,12,1,J71.2,J_71_2,junction,B,true,B206,206,J71.4,J_71_4,junction,B,false,,,"J71.2 RIGHT, J71.3 TOP",,NORMALIZATION_MISMATCH,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-12-J_71_2-J_71_4-2,TRUE_MISSING_SOURCE,missing_junction_source,12,1,J71.2,J_71_2,junction,B,true,B206,206,J71.4,J_71_4,junction,B,false,,,"J71.2 RIGHT, J71.3 TOP",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-12-J_71_2-J_71_4-3,TRUE_MISSING_SOURCE,missing_junction_source,12,1,J71.2,J_71_2,junction,B,true,B206,206,J71.4,J_71_4,junction,B,false,,,"J71.2 RIGHT, J71.3 TOP",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-12-J_71_3-J_71_4-1,TRUE_MISSING_SOURCE,missing_junction_source,12,1,J71.3,J_71_3,junction,B,true,B209,209,J71.4,J_71_4,junction,B,false,,,"J71.2 RIGHT, J71.3 TOP",,NORMALIZATION_MISMATCH,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-12-J_71_3-J_71_4-2,TRUE_MISSING_SOURCE,missing_junction_source,12,1,J71.3,J_71_3,junction,B,true,B209,209,J71.4,J_71_4,junction,B,false,,,"J71.2 RIGHT, J71.3 TOP",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-14-IN_77_1-J_71_2-1,TRUE_MISSING_SOURCE,missing_inlet_source,14,1,IN77.1,IN_77_1,inlet,C,false,,,J71.2,J_71_2,junction,B,true,B206,206,"IN77 LEFT, IN77.1 RIGHT",,FROM_NODE_MISSING_IN_HYDROLOGY,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-14-IN_77_1-J_71_2-2,TRUE_MISSING_SOURCE,missing_inlet_source,14,1,IN77.1,IN_77_1,inlet,C,false,,,J71.2,J_71_2,junction,B,true,B206,206,"IN77 LEFT, IN77.1 RIGHT",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-14-IN_77_1-J_71_2-3,TRUE_MISSING_SOURCE,missing_inlet_source,14,1,IN77.1,IN_77_1,inlet,C,false,,,J71.2,J_71_2,junction,B,true,B206,206,"IN77 LEFT, IN77.1 RIGHT",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-16-IN_76_5-J_71_1-1,TRUE_MISSING_SOURCE,missing_junction_source,16,1,IN76.5,IN_76_5,inlet,C,true,C201,201,J71.1,J_71_1,junction,B,false,,,"IN76.5 RIGHT, J71 LEFT",,NORMALIZATION_MISMATCH,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-16-IN_76_5-J_71_1-2,TRUE_MISSING_SOURCE,missing_junction_source,16,1,IN76.5,IN_76_5,inlet,C,true,C201,201,J71.1,J_71_1,junction,B,false,,,"IN76.5 RIGHT, J71 LEFT",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
